         832495 function calls (832400 primitive calls) in 133.758 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  143.662  143.662 {built-in method exec}
        1    1.051    1.051  143.662  143.662 Stormtrays.py:1(<module>)
     6085    2.945    0.000  123.234    0.020 classes.py:229(flip)
     6085    0.118    0.000   84.536    0.014 classes.py:273(Intervalle)
     6085   84.415    0.014   84.415    0.014 {built-in method sleep}
     6085   20.100    0.003   20.100    0.003 {built-in method smoothscale}
   208132   15.497    0.000   15.497    0.000 {method 'blit' of 'pygame.Surface' objects}
   188582    0.147    0.000    9.497    0.000 classes.py:236(blit)
     5777    0.015    0.000    5.660    0.001 classes.py:174(affichem)
     1976    3.327    0.002    3.327    0.002 {built-in method load_extended}
      115    0.171    0.001    2.895    0.025 ennemis.py:15(__init__)
    49419    1.512    0.000    1.512    0.000 {method 'render' of 'pygame.font.Font' objects}
     9168    0.059    0.000    1.166    0.000 classes.py:240(GetEvent)
    24632    0.454    0.000    1.002    0.000 ennemis.py:64(bouge)
     6085    0.857    0.000    0.857    0.000 {built-in method get}
    14664    0.048    0.000    0.721    0.000 TourClasse.py:76(attaque)
       45    0.128    0.003    0.711    0.016 classes.py:124(construit)
      359    0.011    0.000    0.626    0.002 TourClasse.py:135(__init__)
        2    0.000    0.000    0.616    0.308 classes.py:213(resize)
        2    0.574    0.287    0.616    0.308 {built-in method set_mode}
     8958    0.439    0.000    0.439    0.000 {built-in method scale}
     1976    0.411    0.000    0.411    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
        1    0.002    0.002    0.371    0.371 classes.py:180(__init__)
    14664    0.048    0.000    0.280    0.000 TourClasse.py:68(affiche_jeu)
        1    0.029    0.029    0.270    0.270 ennemis.py:1(<module>)
        1    0.000    0.000    0.250    0.250 classes.py:201(rescale)
     5173    0.055    0.000    0.246    0.000 TourClasse.py:156(Avance)
      167    0.204    0.001    0.208    0.001 {built-in method open}
      233    0.003    0.000    0.190    0.001 glob.py:9(glob)
      496    0.007    0.000    0.189    0.000 ennemis.py:127(enleve_vie)
     1646    0.004    0.000    0.187    0.000 glob.py:20(iglob)
      106    0.002    0.000    0.181    0.002 classes.py:39(__init__)
        1    0.055    0.055    0.177    0.177 __init__.py:25(<module>)
      233    0.003    0.000    0.142    0.001 glob.py:57(glob1)
     5732    0.115    0.000    0.132    0.000 Perso.py:55(vit)
      111    0.094    0.001    0.128    0.001 sysfont.py:534(SysFont)
      233    0.113    0.000    0.113    0.000 {built-in method listdir}
        1    0.018    0.018    0.076    0.076 __init__.py:9(<module>)
        1    0.000    0.000    0.076    0.076 classes.py:153(deffond)
     5817    0.074    0.000    0.074    0.000 {built-in method get_busy}
        1    0.021    0.021    0.058    0.058 __init__.py:44(<module>)
    24637    0.053    0.000    0.053    0.000 {built-in method round}
        1    0.000    0.000    0.047    0.047 classes.py:61(__init__)
     4050    0.046    0.000    0.047    0.000 TourClasse.py:108(Time2Impact)
     2522    0.021    0.000    0.044    0.000 classes.py:48(bouge)
    22305    0.043    0.000    0.043    0.000 ennemis.py:146(anim)
    30479    0.042    0.000    0.042    0.000 {method 'fill' of 'pygame.Surface' objects}
        1    0.018    0.018    0.042    0.042 pkgdata.py:18(<module>)
      121    0.036    0.000    0.037    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     1693    0.007    0.000    0.033    0.000 ntpath.py:108(join)
        1    0.000    0.000    0.031    0.031 sysfont.py:518(initsysfonts)
        1    0.019    0.019    0.031    0.031 sysfont.py:196(initsysfonts_win32)
        1    0.012    0.012    0.027    0.027 surfarray.py:61(<module>)
        1    0.023    0.023    0.025    0.025 pickle.py:24(<module>)
        1    0.023    0.023    0.023    0.023 compat.py:21(get_BytesIO)
      233    0.004    0.000    0.023    0.000 fnmatch.py:48(filter)
     1947    0.008    0.000    0.023    0.000 ntpath.py:188(splitdrive)
     1693    0.003    0.000    0.022    0.000 ntpath.py:100(isabs)
     3825    0.009    0.000    0.020    0.000 ntpath.py:84(normcase)
        1    0.010    0.010    0.020    0.020 glob.py:1(<module>)
    24632    0.019    0.000    0.019    0.000 {method 'set_volume' of 'Sound' objects}
        1    0.009    0.009    0.018    0.018 random.py:37(<module>)
     5732    0.018    0.000    0.018    0.000 Perso.py:27(level_up)
        1    0.010    0.010    0.016    0.016 classes.py:1(<module>)
        5    0.000    0.000    0.016    0.003 TourClasse.py:10(__init__)
        1    0.001    0.001    0.016    0.016 sndarray.py:58(<module>)
        1    0.015    0.015    0.015    0.015 _numpysndarray.py:34(<module>)
        1    0.014    0.014    0.014    0.014 _numpysurfarray.py:45(<module>)
        1    0.009    0.009    0.010    0.010 util.py:35(<module>)
        1    0.009    0.009    0.010    0.010 fnmatch.py:11(<module>)
      252    0.003    0.000    0.009    0.000 ntpath.py:273(split)
       42    0.009    0.000    0.009    0.000 {built-in method rotate}
    25708    0.009    0.000    0.009    0.000 {built-in method isinstance}
        1    0.009    0.009    0.009    0.009 hashlib.py:53(<module>)
     7119    0.009    0.000    0.009    0.000 {built-in method cos}
    11924    0.008    0.000    0.008    0.000 {built-in method sqrt}
        3    0.007    0.002    0.007    0.002 {built-in method load}
      525    0.001    0.000    0.007    0.000 sysfont.py:36(_simplename)
        1    0.002    0.002    0.006    0.006 __init__.py:101(<module>)
      233    0.003    0.000    0.006    0.000 functools.py:170(wrapper)
      525    0.004    0.000    0.005    0.000 sysfont.py:37(<listcomp>)
      120    0.000    0.000    0.005    0.000 __init__.py:277(loads)
     7485    0.003    0.000    0.005    0.000 ntpath.py:44(_get_sep)
      120    0.001    0.000    0.005    0.000 decoder.py:348(decode)
      101    0.000    0.000    0.005    0.000 re.py:267(_compile)
       12    0.000    0.000    0.004    0.000 sre_compile.py:487(compile)
      166    0.002    0.000    0.004    0.000 locale.py:555(getpreferredencoding)
      225    0.001    0.000    0.004    0.000 TourClasse.py:25(affichemenu)
       11    0.000    0.000    0.004    0.000 re.py:212(compile)
     1385    0.004    0.000    0.004    0.000 Perso.py:43(anim)
      699    0.002    0.000    0.004    0.000 glob.py:86(has_magic)
     5732    0.003    0.000    0.003    0.000 {method 'random' of '_random.Random' objects}
     1975    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     3845    0.002    0.000    0.003    0.000 ntpath.py:50(_get_altsep)
      949    0.003    0.000    0.003    0.000 Perso.py:49(anim_ret)
     3638    0.002    0.000    0.003    0.000 ntpath.py:56(_get_bothseps)
     3640    0.002    0.000    0.003    0.000 ntpath.py:68(_get_colon)
     6087    0.003    0.000    0.003    0.000 {built-in method clock}
    10266    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
      120    0.003    0.000    0.003    0.000 decoder.py:359(raw_decode)
        1    0.001    0.001    0.003    0.003 decoder.py:2(<module>)
      115    0.002    0.000    0.002    0.000 ennemis.py:52(pose_ennemi)
       12    0.000    0.000    0.002    0.000 sre_compile.py:472(_code)
       64    0.002    0.000    0.002    0.000 {built-in method __build_class__}
        1    0.000    0.000    0.002    0.002 process.py:35(<module>)
      211    0.001    0.000    0.002    0.000 cp1252.py:22(decode)
        1    0.002    0.002    0.002    0.002 sprite.py:67(<module>)
      288    0.002    0.000    0.002    0.000 {built-in method EnumValue}
      107    0.000    0.000    0.002    0.000 TourClasse.py:51(bougetoursouris)
      233    0.001    0.000    0.002    0.000 glob.py:68(<listcomp>)
        1    0.000    0.000    0.002    0.002 process.py:311(__init__)
        2    0.002    0.001    0.002    0.001 {built-in method urandom}
